text,label
用了一段时间，感觉还不错，可以,1
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,1
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,1
不错,1
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,1
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,1
非常好，客服还特意打电话做回访,1
物流小哥不错，辛苦了，东西还没用,1
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,1
非常漂亮，也非常清晰，反应速度也快。,1
很不错家里都喜欢。。。一次买了三台,1
送货非常快！质量非常好，这次购物非常愉快！！,1
58好大……都不错。看质量咯,1
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,1
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,1
目前感受还不错,1
速度快、服务态度很好,1
挺好的，物流也快，两天就到了,1
发货速度快,1
送货很快，安装服务也很好,1
质量很好，物流服务到位,1
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,1
便宜，能用，这个价格可以。,1
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,1
性价比极高的一款电视机，值得 拥有,1
电视不错 晒单： 收起 向左转 向右转,1
还不错啊，高端大气上档次，外观喜欢。,1
还不错,1
这台电视是给远在家乡的父母买的。父母年纪大了，这种简单的操作系统比较适合他们。搞活动半夜下的单子，第二天就送到了，安装简单，系统运行速度也很快。各种类别节目都很齐全，清晰度很好。父母反应很满意！,1
蛮好的。物美价廉。我同事看我买了也买了两台。还包上门安装。,1
挺好的，就是感觉买小了，应该买43寸的,1
不错，很好,1
相信日本品牌，品质放心。,1
好，一次不错的选择，非常清楚，非常好。,1
给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,1
挺不错的 画面清晰 外观既好看又时尚,1
给老爸卧室买的，质量很不错，第一次买夏普，网络直接连接，送了一年的爱奇艺，不错,1
给姑姑买的卧室电视，不错哦。上门安装加挂架多付80而已。姑姑很满意,1
服务很好，,1
价格便宜，性价比挺好，刚刚开始用,1
电视收到了，很好，质量好，色彩也好，安装师傅也有耐心！棒棒！,1
电视不错，屏幕够大。,1
电视到货很久了，今天才安装好，很激动，效果很好，京东物流也很给力，必须给五分?,1
还不错,1
宝贝收到了，发货速度很快，价格实惠，包装完整，非常满意！,1
京东家电正品低价服务到家,1
京东值得信赖,1
58寸！你想象不的视觉体验！操作界面简单，遥控的语音识别很是不错，影片库也很全，从最新的到最热的，从此爱上看电视！,1
为电视的问题考虑了半天，从LG换到三星，最终选择了索尼。没有usb3.0和hdmi2.0的电视，以后必然难以支持4K60帧的视频，这个价位选索尼没毛病,1
团购比平时便宜2O0元，抵,1
快递物流好，自行安装底座很方便，由于不是高清机顶盒缘故，接有线电视图像一般，其他图像非常好。投屏功能很好用，操作界面整洁，把新电视屏幕的保护膜撕掉，画面十分鲜艳，连接wifi后，测试了一下，很满意，非常愉快的一次网购体验！ 晒单： 收起 向左转 向右转,1
"电视相当不错，12月18号下的单，19号下午收到的，足以证明火爆程度。总结了以下几点:一、65H7全金属机身、（后面塑料）视觉无边框，我比较喜欢，无边界方显大视野； 25核处理器，2G DDR4+8G FLASH，配置好电视才能运行快；虽说内存不是很大，剩余内存不到4个g，应该也够用 。二、电视外表整体做工还行， 拥有HDR技术，广色域技术，4K MEMC，色彩好，拥有HDR技术，广色域技术，4K MEMC，画质清晰音质也还好 杜比解码+DTS解码，立体环绕音效，搭载酷开系统5.8。三、对比很多，其他电视只有屏幕和资源拿的出手，防抖什么的就绝口不提，反而创维65H7能在这个价位加上MEMC,相当良心，所以还是选了创维。四、电视也今年5月份刚上市，虽说对电视没有多大了解，都是网上查看，电视用的cpu也是去年新出（至于好坏我也不懂，看了很多，大家可以自己查看）五、对供应商客服很满意，纠结了好几天，有什么问题都问到供应商客服，而且每次都是耐心及时给回答，对于这点体验很好，相信售后也很给力的。安装也相当给力，当天下午到货，晚上就装上了，还免安装费。",1
此用户未及时评价，系统默认好评。 2017-12-01 17:17:15 追加： 很清晰，音质很好,1
外观很漂亮，画质和声音都非常不错,1
安装完成，开始用起来，感觉还不错,1
电视很完美，看起来也很漂亮。边框窄，整体观看效果比普通的LED电视好很多。安装师傅很给力，送货师傅也很给力。五星好评。,1
非常不错的电视机，价格也便宜，飞利浦，大品牌,1
很好，送货很快，满意,1
一如既往的好评…拍来送人的。朋友很满意。,1
还不错哦，送货很快，提前一天就送来了,1
不得不佩服京东的配送速度，太快了，现在基本都在京东买了，又便宜又好,1
物美价廉,1
超高性价比！性价比简直是无敌！虽然造工比不上大品牌，但价格低啊，找不到比这便宜的了。不过想看的都要会员啊，晒单送我3年会员试试看好啦?！,1
双十一的时候给自家买了台55x3邻居看到后很喜欢，双十二让我帮他买了台43的，还不错支持暴风,1
值得购买,1
性价比很高！,1
不错,1
非常好，好评,1
宝贝很好哟，买之前一直担心电视的质量问题，用了一段时间后才明白那是多余的担心，质量没有任何问题，杠杠的，值得信赖。,1
老品牌，我信任，看着不错啊。,1
很轻 感觉 挺单薄 不过价格也便宜 对得起 这个价格了,1
送货快服务及时，态度很好，非常满意！,1
12月4日零点抢的，12月5日中午前就送到，刚买完的第二天早上8点半就有客服打电话过来确认订单的情况 及物流的时间选择发送，虽然时间太早，但还是感觉很贴心。第二，收到货后，马上打创维的客服热线，下午4点左右不到就家来安装完毕。整个购物体验非常棒。安装的师付也说这电视不错。就是后来加了一条创维的原厂线158元的高清线。以前机顶盒不是高清线。所以，我还是给了5分。,1
飞利浦的电器不用说 ，质量杠杠的,1
东西不错，值得拥有。。。。。q,1
送给姐姐乔迁新居的礼物，今天到货并安装好了。京东服务非常细心，电视也完好正常，姐姐很满意!,1
画面清楚、质量保证,1
画面清晰 师傅安装很好很快 满意,1
双11 949元买的，价格实惠，能用就行。,1
显示效果很棒，音质一般般！放在店里用，屏幕大，性价比还可以吧，虽然别其他品牌的贵一点，但资源多！整体做工一般，塑料感挺强的，家里用的话不建议这款！接口比较丰富。整体中规中矩！晒图的视频是超清画质，开启杜比音效的效果，供大家参考！ 晒单： 收起 向左转 向右转,1
挺好的,1
东西不错，就是货运特别慢，多次打电话才送到。,1
挺好的,1
老家乡里的电视被小娃娃弄坏了，一直都想换一个新电视 在京东上看了又看等到双十一的时候也没下手心里还有些后悔 直到前几天看到风行电视在搞活动果断下单 昨晚师傅送货到家安装好了 电视效果不错 清晰 声音洪亮 物美价廉 希望风行能够越做越好 越做越大,1
刚开箱试机，屏幕质地很好，画面清淅度高，功能很全，这个价格很值了！,1
便宜实惠，就是色彩的鲜艳度差了点，如果要求不高还是可以接受的,1
还是不错的，反应还是比较快的！！！ 晒单： 收起 向左转 向右转 2017-12-10 21:54:20 追加： 电视外观挺不错的，玫瑰金的边框彰显美感。电视遥控操作起来也很方便，遥控器不错，比较灵敏！还会继续购买！！ 收起 向左转 向右转,1
正品，很好，经常买,1
不错,1
还不错。性价比挺高的,1
果然超薄，也没有太多发热，双十二下单，除了送货时间久点，其他都不错,1
不错,1
电视不错，大品牌没问题，比较清晰,1
使用了两周，效果不错,1
物流就是赞。服务态度好 ，开箱检查确保没问题。已上电测试，没问题，清晰度好。,1
电视还没安装，等待安装。不过看着挺好的,1
确实是没有辜负期望，值得购买，信赖大！,1
给父母买的，还不错。不亏是小米。,1
物流可以，装机也快捷，不错,1
快递送货快，售后服务态度很好，安装师傅上门安装，耐心细致讲解疑问。电视清晰度高，音质不错。暂时没有发现问题。,1
相信创维的品质，所以购买。收到货比较满意，边缘即使有一点没有全屏，不影响视觉，取出电视后会有指纹留在电视屏幕上面，一般的布可以擦处，比电脑屏幕容易擦拭，其实可以打包出售贴膜，这样小孩子不会好奇一直留指纹到屏幕上，擦拭更容易。遥控比较好用，不看说明书都会使用了，这一点出比我想象的好。视觉满意，在意听觉效果的需要加上音响。本来担心电视会碎屏，收快递现场验货没有这个问题，满意的一次购物！,1
电视机不错，就是买小了，夏普是没有退换这一说的，除非是大问题，让师傅开签定单，自己的原因，莫得法子，服务和性能肯定都是好评的，相信京东，全部的大件都是京东自营，?东继续加油哦?懒得拍照片，就只拍了一下空调的，嘿嘿,1
值得购买！功能强大，效果非常不错！,1
宝贝收到了，包装很完整价格实惠，非常满意的一次购物经历！,1
宝贝一级棒！师傅也太负责了！好评！,1
电视质量不错，色彩鲜艳 ，放客厅刚刚好，客服态度也不错。,1
挺好的，性价比高,1
，电视机很好。价格便宜服务好，电视显示效果还可以，,1
电视不错的。送货上门，暂时还没有安装,1
本人双11买的 这个电视 外观好看 档次高 我的型号是创维65寸H7超薄的 昨天刚开机 电视给我感觉就是小了一点 我本来打算放客厅 现在放 卧室了 我房间要买创维100寸的蓝牙遥控器 随意切换一点都不卡，点什么都是秒出来 好看 大气我还要 再买一台100寸的.真的好喜欢他的架子 就是好看 不卡 大气 买的你放心 买的你安心 买的你绝对不后悔走过路过 千万别错过 支持买 买买 差不多了 我去忙了 非常好,1
电视收到了显示屏非常清晰，价钱实惠非常满意,1
物流客服都很给力，比想象的还大，画面也清晰。,1
曲屏就是比一般的屏清晰，价格还不贵,1
年会奖品，屏幕色彩不错,1
终于等到了他的到来，还没看呢，但是之前的小米电视感觉不错,1
物流就是快 东西也是正品,1
电视和想象的差不多！海尔大品牌，值得信赖，客服态度好！有啥事立马解决！非常喜欢，值得大家购买，过几天追评,1
觉得是物有所值，首先送货速度和送货态度都非常满意，然后打开电视，确实做工精细，画面流畅清晰，操作也很人性化。总之，比较满意！,1
性价比超高，非常划算，而且机器也不错，满意！,1
物超所值,1
开箱通电后没啥问题，送货的师傅还是很负责的。曲面屏的确上档次。自己上几颗螺丝安装了，希望不要出问题。,1
"今天下单中午就到,速度快,下午马上安装!晚上就能看!神速!",1
感觉不错，装起来美的很，现在只想看电视了，什么都不想干,1
还很便宜值得这个价格很好,1
产品很好，目前很满意。但我支付的2年售后服务没有任何凭证，我不知如何取得，请告知,1
挺不错的，价钱实惠,1
漂亮，大气，物超所值！,1
东西不错。很薄很轻。,1
送货上门超级快，特别给力，自己装上了，特省事特方便，真的太超值了，爸妈特别喜欢。电视操作很简单，主要遥控器方便。视频好多电视剧，可以开开心心大屏追剧。哈哈哈哈哈京东就是快，风行就是好,1
物美价廉哈，真行不错，下次自己房间再买,1
物流很快，显示效果也非常不错。,1
用过一段时间，才来评价。电视很清晰，设计漂亮。很满意的一次购物，感谢京东！谢谢送货小哥！,1
很好，两点下单上午就到了，服务很好。,1
京东超级会员，在京东买了好多东西，一直很好，售后还是物流都很满意，东西超级喜欢,1
物流很快，到货后，第二天安装，用的WiFi看，效果不错。3999买的，物有所值，比去商场买感觉省时，省力，省不省钱，目前不知，估计应该贵不到哪去，也懒的去比价了。,1
产品质量可以,1
电视机效果非常好，颜色出彩。画面清晰流畅。另外客服七喜、阳光、坚果的服务也很到位，棒棒哒。,1
硬屏的图像清晰，性价比高，希望后期不要出什么质量问题,1
妈妈说，电视机不错，用一段时间再说呗,1
电视机很满意，大小也正好，画质，音色都不错，很棒。 另外橘子，西瓜客服棒棒哒,1
不错的小米电视，便宜！质量也不错哦！性价比很高 晒单： 收起 向左转 向右转,1
东西收到了快递很给力，就是什么配件都没有，连最起码的数据线都没有,1
挺好的！跟想象中的差不多！物流也快！送货师傅也很好！,1
整体效果很好，性价比超高！,1
安装师傅很负责，说是空心墙，多加了几颗螺丝固定。电视试看了下感觉不错。 晒单： 收起 向左转 向右转,1
挺好的,1
电视非常好，京东送货非常快，安装师傅也非常负责，态度很好，屏幕非常清晰，价格也非常合理，主要给孩子买来看动画片，不愧是4k非常清楚，孩子很喜欢，而且非常薄，总之非常满意,1
很好用，色彩很好，简单易用,1
电视给父母买的，父母觉得很满意,1
给妈妈买的送货超级快，免费安装，送货人员服务也很热情，安装师傅很用心，给妈妈耐心讲解，妈妈说画面很清晰，内容也很丰富，在家里放着也不大，不占地方，挺好的电视,1
就不上图了 一句话还不错,1
卧室用的，画面挺清晰，但是不能离近看，否则颜色会很诡异，安装师傅挺好的,1
京东就是好，速度快，送货师傅认真负责，售后安装态度好,1
非常满意，双十二抢的，卧室以后也买这种,1
还可以吧！还没用 看着挺不错的！物流也挺快 ！,1
东西很好，经常在京东买东西……,1
1.新疆的，送货很及时，态度也很不错。2.安装需要安装费，可能是比较远，不过没有让他安装，自己装的。3.电视很清晰但有时屏幕下面部分有些许花，时间很短，可能是网的问题，过段时间再看看。,1
双12买的电视～发货速度很快～第二天就送到家里了～当时打电话安装师傅很快就到了～外观很漂亮～图像清楚！关键是前期服务确实不错～,1
海尔大品牌。售后不错，用着放心。,1
快递服务好，好高大,1
实惠值得购买，性价比高，下次再光顾,1
电视收到了，画面超清晰,1
早上下单，一天后就收到货。自己拿着底座装好，第二天早晨起来打开电视看了两个大片，色彩绚丽，音质很好，非常满意！,1
电视不错，后面的借口有弊端，电视挂墙后连线顶着墙了！,1
电视机不错，音响效果好，画质清晰。我是双十一买的，双12的前两天我才收到货，打了好多投诉电话，让我很不开心，耽误了一个月的时间。安装工得态度不错，服务也好，给安装工点个赞?,1
送货快，安装快！,1
大品牌 防静电包装 值得信赖！,1
暴风电视蛮清楚的，外观也漂亮，性价比可以,1
看起来还不错，电视剧很大的,1
很好的购物体验，产品更是没得说，画质，音质，绝对是物超所值！！,1
今天刚收到货，还不错,1
电视已经收到货，整体来说，操作界面很清晰，很简洁。会用普通电视遥控器，就能熟练操作风行电视。电视画面非常清晰，应用包含许多内容，比如，电影，综艺，幼儿卡通等等。屏幕大，我今年双12下的单，活动价买的非常超值，晒单还给价值1500多元的风行3年的金牌会员，更超值啦。这个电视值得购买，一定推荐给身边的朋友。,1
