text,label
用了一段时间，感觉还不错，可以,1
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,1
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,1
不错,1
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,1
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,1
非常好，客服还特意打电话做回访,1
物流小哥不错，辛苦了，东西还没用,1
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,1
非常漂亮，也非常清晰，反应速度也快。,1
很不错家里都喜欢。。。一次买了三台,1
送货非常快！质量非常好，这次购物非常愉快！！,1
58好大……都不错。看质量咯,1
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,1
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,1
目前感受还不错,1
速度快、服务态度很好,1
挺好的，物流也快，两天就到了,1
发货速度快,1
送货很快，安装服务也很好,1
质量很好，物流服务到位,1
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,1
便宜，能用，这个价格可以。,1
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,1
性价比极高的一款电视机，值得 拥有,1
电视不错 晒单： 收起 向左转 向右转,1
还不错啊，高端大气上档次，外观喜欢。,1
还不错,1
这台电视是给远在家乡的父母买的。父母年纪大了，这种简单的操作系统比较适合他们。搞活动半夜下的单子，第二天就送到了，安装简单，系统运行速度也很快。各种类别节目都很齐全，清晰度很好。父母反应很满意！,1
蛮好的。物美价廉。我同事看我买了也买了两台。还包上门安装。,1
挺好的，就是感觉买小了，应该买43寸的,1
不错，很好,1
相信日本品牌，品质放心。,1
好，一次不错的选择，非常清楚，非常好。,1
给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,1
挺不错的 画面清晰 外观既好看又时尚,1
给老爸卧室买的，质量很不错，第一次买夏普，网络直接连接，送了一年的爱奇艺，不错,1
给姑姑买的卧室电视，不错哦。上门安装加挂架多付80而已。姑姑很满意,1
服务很好，,1
价格便宜，性价比挺好，刚刚开始用,1
电视收到了，很好，质量好，色彩也好，安装师傅也有耐心！棒棒！,1
电视不错，屏幕够大。,1
电视到货很久了，今天才安装好，很激动，效果很好，京东物流也很给力，必须给五分?,1
还不错,1
宝贝收到了，发货速度很快，价格实惠，包装完整，非常满意！,1
京东家电正品低价服务到家,1
京东值得信赖,1
58寸！你想象不的视觉体验！操作界面简单，遥控的语音识别很是不错，影片库也很全，从最新的到最热的，从此爱上看电视！,1
为电视的问题考虑了半天，从LG换到三星，最终选择了索尼。没有usb3.0和hdmi2.0的电视，以后必然难以支持4K60帧的视频，这个价位选索尼没毛病,1
团购比平时便宜2O0元，抵,1
快递物流好，自行安装底座很方便，由于不是高清机顶盒缘故，接有线电视图像一般，其他图像非常好。投屏功能很好用，操作界面整洁，把新电视屏幕的保护膜撕掉，画面十分鲜艳，连接wifi后，测试了一下，很满意，非常愉快的一次网购体验！ 晒单： 收起 向左转 向右转,1
"电视相当不错，12月18号下的单，19号下午收到的，足以证明火爆程度。总结了以下几点:一、65H7全金属机身、（后面塑料）视觉无边框，我比较喜欢，无边界方显大视野； 25核处理器，2G DDR4+8G FLASH，配置好电视才能运行快；虽说内存不是很大，剩余内存不到4个g，应该也够用 。二、电视外表整体做工还行， 拥有HDR技术，广色域技术，4K MEMC，色彩好，拥有HDR技术，广色域技术，4K MEMC，画质清晰音质也还好 杜比解码+DTS解码，立体环绕音效，搭载酷开系统5.8。三、对比很多，其他电视只有屏幕和资源拿的出手，防抖什么的就绝口不提，反而创维65H7能在这个价位加上MEMC,相当良心，所以还是选了创维。四、电视也今年5月份刚上市，虽说对电视没有多大了解，都是网上查看，电视用的cpu也是去年新出（至于好坏我也不懂，看了很多，大家可以自己查看）五、对供应商客服很满意，纠结了好几天，有什么问题都问到供应商客服，而且每次都是耐心及时给回答，对于这点体验很好，相信售后也很给力的。安装也相当给力，当天下午到货，晚上就装上了，还免安装费。",1
此用户未及时评价，系统默认好评。 2017-12-01 17:17:15 追加： 很清晰，音质很好,1
外观很漂亮，画质和声音都非常不错,1
安装完成，开始用起来，感觉还不错,1
电视很完美，看起来也很漂亮。边框窄，整体观看效果比普通的LED电视好很多。安装师傅很给力，送货师傅也很给力。五星好评。,1
非常不错的电视机，价格也便宜，飞利浦，大品牌,1
很好，送货很快，满意,1
一如既往的好评…拍来送人的。朋友很满意。,1
还不错哦，送货很快，提前一天就送来了,1
不得不佩服京东的配送速度，太快了，现在基本都在京东买了，又便宜又好,1
物美价廉,1
超高性价比！性价比简直是无敌！虽然造工比不上大品牌，但价格低啊，找不到比这便宜的了。不过想看的都要会员啊，晒单送我3年会员试试看好啦?！,1
双十一的时候给自家买了台55x3邻居看到后很喜欢，双十二让我帮他买了台43的，还不错支持暴风,1
值得购买,1
性价比很高！,1
不错,1
非常好，好评,1
宝贝很好哟，买之前一直担心电视的质量问题，用了一段时间后才明白那是多余的担心，质量没有任何问题，杠杠的，值得信赖。,1
老品牌，我信任，看着不错啊。,1
很轻 感觉 挺单薄 不过价格也便宜 对得起 这个价格了,1
送货快服务及时，态度很好，非常满意！,1
12月4日零点抢的，12月5日中午前就送到，刚买完的第二天早上8点半就有客服打电话过来确认订单的情况 及物流的时间选择发送，虽然时间太早，但还是感觉很贴心。第二，收到货后，马上打创维的客服热线，下午4点左右不到就家来安装完毕。整个购物体验非常棒。安装的师付也说这电视不错。就是后来加了一条创维的原厂线158元的高清线。以前机顶盒不是高清线。所以，我还是给了5分。,1
飞利浦的电器不用说 ，质量杠杠的,1
东西不错，值得拥有。。。。。q,1
送给姐姐乔迁新居的礼物，今天到货并安装好了。京东服务非常细心，电视也完好正常，姐姐很满意!,1
画面清楚、质量保证,1
画面清晰 师傅安装很好很快 满意,1
双11 949元买的，价格实惠，能用就行。,1
显示效果很棒，音质一般般！放在店里用，屏幕大，性价比还可以吧，虽然别其他品牌的贵一点，但资源多！整体做工一般，塑料感挺强的，家里用的话不建议这款！接口比较丰富。整体中规中矩！晒图的视频是超清画质，开启杜比音效的效果，供大家参考！ 晒单： 收起 向左转 向右转,1
挺好的,1
东西不错，就是货运特别慢，多次打电话才送到。,1
挺好的,1
老家乡里的电视被小娃娃弄坏了，一直都想换一个新电视 在京东上看了又看等到双十一的时候也没下手心里还有些后悔 直到前几天看到风行电视在搞活动果断下单 昨晚师傅送货到家安装好了 电视效果不错 清晰 声音洪亮 物美价廉 希望风行能够越做越好 越做越大,1
刚开箱试机，屏幕质地很好，画面清淅度高，功能很全，这个价格很值了！,1
便宜实惠，就是色彩的鲜艳度差了点，如果要求不高还是可以接受的,1
还是不错的，反应还是比较快的！！！ 晒单： 收起 向左转 向右转 2017-12-10 21:54:20 追加： 电视外观挺不错的，玫瑰金的边框彰显美感。电视遥控操作起来也很方便，遥控器不错，比较灵敏！还会继续购买！！ 收起 向左转 向右转,1
正品，很好，经常买,1
不错,1
还不错。性价比挺高的,1
果然超薄，也没有太多发热，双十二下单，除了送货时间久点，其他都不错,1
不错,1
电视不错，大品牌没问题，比较清晰,1
使用了两周，效果不错,1
物流就是赞。服务态度好 ，开箱检查确保没问题。已上电测试，没问题，清晰度好。,1
电视还没安装，等待安装。不过看着挺好的,1
确实是没有辜负期望，值得购买，信赖大！,1
给父母买的，还不错。不亏是小米。,1
物流可以，装机也快捷，不错,1
快递送货快，售后服务态度很好，安装师傅上门安装，耐心细致讲解疑问。电视清晰度高，音质不错。暂时没有发现问题。,1
1、去年双十一价格大概1800，今年由于面板等部件涨价2500。 2、电视需要配置，关机开机是个大问题，我作为一个IT从业人员，都感觉开机是个大问题，不管怎么设置，总是达不到你要的效果。需要改进：接通电源有指示灯亮，如果手开电视开关，不管其他怎么设置开通电视。 3、老人和非年轻人基本上不会用。都喊着要退货，可惜已经过了7天退货期，因为其他牌子的老人基本上插上电，按下遥控就可以看，这款电视只要你断电再开，有的受。 4、还遇到wifi问题，时不时不灵。需要电信调整dns解析，但我自己调整路由器dns设置，后续继续试用中。 　　支持国产牌子，看来路还长呀。,0
不错，就是系统不太好，不适合老人操作,0
除了开机慢点以外，其他都还能接受，基本算是物美价廉吧，京东自营的电器可以放心。唯一的遗憾是网络不行，无法刷卡支付。京东帮工作人员很给力，好评。,0
除了开机有点慢，其他都挺好,0
电视不错的，不过老爸老妈嫌系统麻烦，用了华数的机顶盒。。。浪费了会员呀,0
电视很清晰，4k里面这个尺寸微鲸是最好的，没买电视机柜，直接干到墙上去，叔叔辛苦了。宝贝基本与卖家描述一致，就是开机有点慢?,0
电视价格便宜 送货快 电视跟挂架是分开的到的 安装收100元 不错 就是开机要调信号源比较麻烦,0
电视质量一般，看电视有点卡了,0
东西不错，就是老人家不会用。,0
发货快除开机有点慢，其他还行,0
感觉不错，性价比不错，功能挺多，就是遥控器没有九键，有点不开森,0
刚收到 开机有点慢,0
购买的时候没有注意电视机参数，厚度太厚了，没有语音助手，分辨率真心不行！客观来说：这个价格不值得买这款微鲸！之前微鲸价格有优势，现在价格成一路上升趋势！买家购买时刻谨慎.2颗星主要给送货师傅的、态度非常好！有责任心！,0
还可以吧。只能说一般，没有宣传的好，拿回家两天，总是死机，而且屏幕的想去不太好。,0
价格不算太贵 但是开机实在是慢啊亲，，，，，，，，，，，，，，，，，，物流挺快,0
今天就收到了，物流挺快的，画面清晰，就是没有标配语音遥控器是个遗憾，还有长须鲸客服棒棒哒??,0
京东完美贴心的服务，快，此款电视机各位面都不错，软件按装放便，就是开机有点慢。,0
就是开机有点慢，别的都还不错?,0
开机有点慢,0
开机有点慢，但是超清啊，可以直接连WIFI也很方便啊，能看的片子挺多的,0
开机有点慢，而且略微有点卡，不知道是不是正常,0
开机有点慢，用起来还行,0
看了几天才评价，目前还不错，就是每次开机有点慢，估计没设好！先来个好评！,0
看有线电视的时候有时屏幕会变得很大，下面字会显示不出来,0
客服很好，电视款式不错，清晰度也不错，就是操作系统较麻烦点，连接网络需要自己动手下直播！！,0
联网不行自动跳台很不满意,0
目前用着，反映很慢…切换要黑屏好久,0
首先说屏幕，采用群创的，显示效果没有优势，没法和同价位某米比，系统也不怎么样，开机不快，对显示效果要求较高的，不建议，但对于性价比来说还算可以，发货速度得赞一个，客服小虎鲸，独角鲸，小鱼鲸客服棒棒哒！物流服务也赞一个，比预定时间提前了一天送过来！,0
说下我买微鲸的经历吧！本来不是很看好这个牌子，当时想买暴风X45，但是微鲸电视的设计征服了我，背部流线型设计真的不错，尤其那个防尘散热孔特别到位，底部引出的指示灯也深得民心。不过细节之处仍然需要加强，大家可以看图二是有很大缝隙的。配置中等毕竟15年产品 买电视主要还是买屏幕 以后可以买电视盒子 但是系统优化非常好基于安卓5.0.2深度定制 体验这么久基本无卡顿 开关机没有任何广告 开机10S 关机5S 差不多这个样子 屏幕物理分辨率确实是4K 是不是LG原装屏幕我没检测出来 但是是硬屏 是RGBW 4色伪4K 有轻微中间亮4周暗的情况（可以接受）不过漏光控制的不错 色彩的话轻微发白 值得一体的是遥控器手感特别棒 既不是红外也不是2.4G 而是采用了成本更高 功耗更低的蓝牙 语音识别也很准确 虽然我不用底座 但是底座质感非常好 配了扳手多给了一颗螺丝钉也很用心 Wi-Fi模块不是很好 网速衰减很严重 但是从来没有出现过开机连接不上的情况 我安了有线网络之后又了一定的提升 我100M的网络 有线网络在3MB左右徘徊 很是无奈 开始收到的坏机器（见图一）联系老板之后也得到解决了 老板为人厚道,0
挺好的，就是开机有点慢,0
我觉得这款电视机吗整体来说真的还不错，性价比，还可以，但是我看到，评论上有人说，2400多份2600多就买到了，我买的是2898，应该是2900块钱，整体来说虽然价格比之前高了一点，但是还是蛮划算的嘛，另外，开机，第一天到还好，第二天开机的时候在途中第二页，停顿了大概三分钟左右时间，确实挺麻烦的,0
系统不行 老是死机,0
用了几天东西还是不错的，除了开机有点慢之外，毕竟只有1G内存，其他基本没啥毛病。,0
之前坏了，免费换的，感觉反应好像慢点，先用到时再看,0
总体感觉不错，够清晰，效果不错。开机有点慢，要个几分钟。还有就是听说比前几个月贵了几百块。。。,0
最烦就是歧视32寸的，遥控器是红外线的，其他型号都是蓝牙的，可以配对，现在操作起来很不方便,0
"4.5故障,下午报修 4.6微鲸上门检测出具报告,装箱打包 4.7京东换货完毕 感觉暗了点,色彩不如原来",0
55寸电视很大气，声音效果相当不错，同类电视里面声音效果绝对是上等，画面的画质也不错，就是用蓝光效果看电影动态效果微有拖影，本来想买55寸曲面的，有个动态效果加速，反正也没有比较过，感觉在这个价位里面应该也是处理的最好的了吧，整体效果不错，非常满意，看系统资源的东西没有广告挺好的。但是开机时间有点长，语音的识别不是很准确，逻辑不是很清晰，希望以后系统更新能加强。也是看到很多评论说这个互联网电视不错，所以在小米、乐视、微鲸里面选了微鲸，接下来就是看电视能用多长时间了，希望中国制造越来越好。,0
帮朋友的家人买的，分辨率低到不要不要，1366×768也是醉了，应该是供应链上08年标准的面板。不过其他的牌子也都这样，好处是系统可以，配置也不错，对于1298来说，如果是2G运行就更好了,0
不行，画质太差了。便宜没好货！,0
差评，电视上有两个坏点，上门看了之后说国家规定三个点是良品，京东不换不退不修，垃圾电视垃圾京东！,0
除了有漏光问题，其他都挺好，响应速度很快，系统也稳定，目前没有出现什么软件停运问题。,0
第二台微鲸电视，性价比高，轻微漏光，比去年贵了不少,0
第一次商品有一个坏点，看了没多久无法开机，第二次两个坏点，售后说不算故障~~可购买前咨询过商家承诺是无坏点的！期待这个能用的住吧~,0
电视不错，清晰度还算可以，最底部往上有稍微漏光，4K资源没有就试不出。希望质量有保证，使用长久点。支持新兴品牌。快递小哥服务好。,0
